,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Sand [%],B8A
0,42.8174,-2.55,0.16896260894011808,1250.0,1254.0,1273.0,1478.0,1622.0,1910.0,2081.0,2079.0,1064.0,19.0,2783.0,2327.0,,64.3,2233.0
1,43.2764,-2.0256,0.036946564885496185,2179.0,1743.0,1467.0,1577.0,2171.0,2217.0,2312.0,1698.0,957.0,12.0,1791.0,1227.0,,5.6,2209.0
2,43.1697,-2.3242,0.03577882182869534,1410.0,1449.0,1335.0,1334.0,1534.0,1764.0,1737.0,1433.0,664.0,9.0,1530.0,1440.0,,16.9,1826.0
3,36.566,-5.2752,0.1111111111111111,1195.0,817.0,520.0,336.0,344.0,419.0,460.0,420.0,243.0,5.0,213.0,89.0,,53.1,486.0
4,43.3342,-5.3128,0.10857142857142857,1012.0,682.0,397.0,234.0,276.0,428.0,495.0,291.0,185.0,7.0,246.0,122.0,,77.8,474.0
5,43.7008,-7.6636,0.041189222669557136,5355.0,4905.0,4490.0,4644.0,4704.0,5034.0,5259.0,5043.0,2339.0,33.0,3189.0,2031.0,,51.4,5409.0
6,43.63,-7.9478,0.0417022487902078,6616.0,6557.0,6293.0,6733.0,6860.0,7337.0,7680.0,7319.0,3089.0,30.0,5334.0,3435.0,,39.4,7890.0
7,43.5681,-8.1842,0.03849493487698987,7031.0,6652.0,6215.0,6644.0,6831.0,7158.0,7404.0,7176.0,4021.0,149.0,5262.0,3863.0,,33.8,7530.0
8,43.4031,-4.9975,0.03001721685754922,6532.0,6485.0,6118.0,6479.0,6515.0,6760.0,7059.0,6880.0,2931.0,87.0,5230.0,4049.0,,73.7,7206.0
9,43.2792,-4.9872,0.003050421675937556,8304.0,8170.0,7775.0,8334.0,8317.0,8480.0,8864.0,8385.0,3379.0,39.0,4539.0,2909.0,,26.2,8992.0
10,43.262,-4.9986,0.0006539366989275438,7620.0,7559.0,7176.0,7641.0,7599.0,7801.0,8109.0,7651.0,2769.0,31.0,4229.0,2687.0,,24.5,8254.0
11,43.2606,-5.013,0.006929570366637269,7629.0,7702.0,7332.0,7882.0,7852.0,8069.0,8401.0,7992.0,2916.0,33.0,4618.0,2996.0,,53.3,8558.0
12,43.2642,-5.0205,0.012638436482084691,7541.0,7494.0,7128.0,7578.0,7553.0,7762.0,8071.0,7772.0,2902.0,32.0,4327.0,2660.0,,21.5,8194.0
13,43.2025,-5.2114,0.020402236259348,6880.0,6708.0,6326.0,6746.0,6742.0,6981.0,7257.0,7027.0,3014.0,36.0,4215.0,2627.0,,10.8,7350.0
14,43.1942,-5.1564,0.01910828025477707,7435.0,7412.0,7030.0,7469.0,7446.0,7681.0,7960.0,7760.0,3120.0,39.0,4858.0,3338.0,,19.2,8076.0
15,43.1458,-5.1283,0.013680297397769516,6672.0,6416.0,6155.0,6633.0,6728.0,7020.0,7319.0,6817.0,3231.0,52.0,4641.0,3248.0,,6.0,7468.0
16,43.1033,-5.2164,0.01303538175046555,8595.0,8374.0,8093.0,8745.0,8850.0,9137.0,9451.0,8976.0,4358.0,48.0,5126.0,3210.0,,19.1,9579.0
17,43.1106,-5.2217,0.029609690444145357,7063.0,7210.0,6821.0,7210.0,7058.0,7367.0,7681.0,7650.0,3060.0,34.0,3697.0,2218.0,,22.4,7741.0
18,43.1445,-5.2914,0.011977249916359987,7345.0,7243.0,6888.0,7383.0,7359.0,7635.0,7868.0,7562.0,3378.0,50.0,4057.0,2453.0,,19.8,7948.0
19,43.1008,-5.3061,0.014056089851368619,7375.0,7153.0,6820.0,7330.0,7467.0,7718.0,8009.0,7539.0,3524.0,40.0,4446.0,2808.0,,18.3,8143.0
20,43.1111,-5.3217,0.014177287698696835,7048.0,6909.0,6488.0,6884.0,6866.0,7062.0,7292.0,7082.0,3068.0,38.0,3464.0,2051.0,,15.7,7337.0
21,43.1967,-5.4255,0.002297341647522153,8913.0,8792.0,8451.0,9120.0,9122.0,9309.0,9665.0,9162.0,3982.0,46.0,5116.0,3308.0,,27.9,9817.0
22,43.0597,-5.4025,0.020486662764445187,5970.0,5795.0,5503.0,5857.0,5891.0,6153.0,6374.0,6102.0,2739.0,32.0,4246.0,2939.0,,16.5,6487.0
23,43.0008,-5.7658,0.15303593556381662,1125.0,1317.0,1286.0,1367.0,1367.0,1839.0,2025.0,1861.0,907.0,13.0,1672.0,1186.0,,36.7,2043.0
24,43.0336,-6.2383,0.16142735768903993,1218.0,1232.0,1045.0,987.0,997.0,1305.0,1479.0,1367.0,933.0,76.0,1710.0,1309.0,,18.5,1691.0
25,43.0617,-6.3233,0.18457943925233644,1093.0,780.0,519.0,349.0,388.0,446.0,497.0,507.0,358.0,44.0,447.0,247.0,,25.8,508.0
26,43.06,-6.3772,0.11513157894736842,1029.0,731.0,448.0,269.0,250.0,334.0,340.0,339.0,206.0,39.0,188.0,101.0,,53.7,335.0
27,42.9453,-6.742999999999999,0.047800108636610536,1388.0,1237.0,1436.0,1753.0,1985.0,2182.0,2342.0,1929.0,784.0,12.0,2637.0,1927.0,,38.8,2203.0
28,43.5136,-7.6697,0.03357801030766828,6280.0,6332.0,5935.0,6188.0,6145.0,6482.0,6731.0,6618.0,2371.0,54.0,4259.0,2902.0,,50.5,6863.0
29,43.5361,-7.6461,0.006953944368445052,8678.0,8600.0,8168.0,8711.0,8772.0,8986.0,9247.0,8833.0,4274.0,116.0,5207.0,3526.0,,73.5,9326.0
30,43.5947,-7.4186,0.19919737322145203,2391.0,2342.0,2179.0,2195.0,2410.0,3012.0,3398.0,3287.0,1024.0,12.0,3052.0,2435.0,,77.0,3658.0
31,43.593,-7.4586,0.1535030175806875,3397.0,3284.0,3125.0,3226.0,3341.0,4117.0,4467.0,4396.0,1485.0,16.0,4050.0,3460.0,,39.5,4761.0
32,43.4541,-7.4053,0.11876208897485493,3461.0,3257.0,3188.0,3417.0,3477.0,4173.0,4555.0,4338.0,1527.0,20.0,4521.0,3658.0,,57.8,4798.0
33,43.4947,-7.6686,0.12132963988919668,4227.0,4055.0,3853.0,3965.0,4022.0,4786.0,5086.0,5060.0,1895.0,55.0,3577.0,2640.0,,64.5,5304.0
34,43.4481,-7.8403,0.02260016854362982,6530.0,6368.0,6013.0,6379.0,6403.0,6691.0,6926.0,6674.0,2976.0,101.0,5280.0,4240.0,,32.4,6955.0
35,43.4341,-7.9697,0.009849058802960546,8439.0,8205.0,7832.0,8495.0,8541.0,8752.0,9045.0,8664.0,3831.0,72.0,6159.0,4443.0,,21.0,9130.0
36,43.4174,-7.9531,0.0013424620754463685,7608.0,7412.0,6999.0,7439.0,7358.0,7569.0,7831.0,7459.0,2845.0,39.0,3848.0,2063.0,,45.0,7888.0
37,43.3841,-8.3323,0.022942586462732565,8423.0,8435.0,8003.0,8560.0,8675.0,8859.0,9157.0,8962.0,4081.0,82.0,6234.0,4290.0,,49.5,9354.0
38,43.3974,-8.3387,0.0016509079993996699,7273.0,6538.0,6247.0,6652.0,6806.0,6969.0,7225.0,6674.0,3529.0,72.0,4978.0,3624.0,,41.5,7326.0
39,43.5247,-7.695,0.04148504434089884,6574.0,6481.0,6060.0,6377.0,6402.0,6798.0,7120.0,6929.0,2555.0,34.0,3979.0,2385.0,,64.0,7277.0
40,40.7735,0.3335,0.11449371277299801,2501.0,2999.0,2714.0,2676.0,2728.0,3049.0,3268.0,3368.0,750.0,14.0,3074.0,2181.0,,15.6,3346.0
41,42.1396,2.742,0.13989637305699482,1552.0,1622.0,1830.0,2241.0,2455.0,2800.0,3091.0,2970.0,809.0,12.0,3917.0,2932.0,,15.4,3384.0
42,41.6424,2.1892,0.1358435614728521,1453.0,1413.0,1617.0,2077.0,2264.0,2569.0,2885.0,2730.0,654.0,14.0,4316.0,3008.0,,39.1,3096.0
43,41.00899999999999,0.7724,0.08484005563282336,1307.0,905.0,547.0,329.0,312.0,415.0,451.0,390.0,112.0,5.0,141.0,44.0,,21.6,434.0
44,41.3424,-0.0693,0.17449512139777626,1531.0,1510.0,1582.0,1819.0,2250.0,2565.0,2810.0,2588.0,1273.0,19.0,3750.0,2815.0,,28.0,3018.0
45,41.4702,0.853,0.08442503639010189,1528.0,1108.0,810.0,629.0,893.0,1166.0,1280.0,745.0,341.0,12.0,1098.0,796.0,,17.0,1347.0
46,41.4535,0.8808,0.1815668202764977,1392.0,994.0,680.0,444.0,499.0,655.0,633.0,641.0,172.0,13.0,348.0,224.0,,18.8,623.0
47,41.1202,-0.4193,0.10016822144058725,1913.0,1949.0,2223.0,2942.0,3210.0,3553.0,3838.0,3597.0,903.0,18.0,5032.0,3819.0,,49.1,4122.0
48,40.9229,-0.1748,0.14411814632490239,1676.0,1712.0,1944.0,2521.0,2617.0,2847.0,3295.0,3370.0,773.0,14.0,4056.0,2912.0,,31.6,3618.0
49,42.2507,1.86,0.008237232289950576,1245.0,834.0,510.0,301.0,274.0,371.0,413.0,306.0,270.0,17.0,184.0,84.0,,13.6,367.0
50,42.3341,1.7905,0.17423133235724744,1200.0,823.0,511.0,282.0,316.0,473.0,496.0,401.0,284.0,13.0,189.0,110.0,,24.1,472.0
51,41.3591,1.0872,0.0017331022530329288,1209.0,855.0,515.0,288.0,257.0,330.0,323.0,289.0,94.0,7.0,71.0,9.0,,57.0,297.0
52,40.7118,0.2974,0.05702430349733254,3556.0,3789.0,3734.0,3977.0,4113.0,4594.0,4878.0,4458.0,1369.0,15.0,4722.0,3833.0,,12.4,5069.0
53,41.4202,2.1503,0.11462205700123916,1717.0,1228.0,1168.0,1429.0,1821.0,2272.0,2523.0,1799.0,687.0,17.0,3369.0,2857.0,,67.5,2554.0
54,41.6231,2.3734,0.1776239907727797,1372.0,1403.0,1375.0,1426.0,1525.0,1934.0,2191.0,2042.0,535.0,11.0,2515.0,1762.0,,82.1,2388.0
55,41.7332,2.7309,0.0846307385229541,1589.0,1731.0,1881.0,2293.0,2160.0,2553.0,2760.0,2717.0,557.0,12.0,2929.0,2105.0,,79.0,2946.0
56,41.8091,3.0651,0.18009168303863785,1356.0,1149.0,1035.0,1252.0,1245.0,1816.0,2132.0,1802.0,499.0,12.0,2307.0,1819.0,,73.1,2314.0
57,40.0285,-2.0416,0.1726295210166178,1425.0,1323.0,1479.0,2116.0,2360.0,2640.0,2962.0,2999.0,1331.0,19.0,3700.0,2438.0,,13.5,3355.0
58,40.4563,-4.8695,0.18100314998788467,1391.0,1362.0,1445.0,1690.0,1728.0,2157.0,2354.0,2437.0,1211.0,19.0,3560.0,2628.0,,71.5,2593.0
59,41.0007,-5.0196,0.13043478260869565,1404.0,1207.0,1064.0,1190.0,1280.0,1401.0,1532.0,1547.0,777.0,11.0,2549.0,1866.0,,59.0,1623.0
60,40.6001,-4.4931,0.06692913385826772,1452.0,1221.0,993.0,1422.0,1664.0,1908.0,2031.0,1626.0,1257.0,39.0,2012.0,1598.0,,49.5,2164.0
61,41.0174,-4.7362,0.11538461538461539,1554.0,1477.0,1436.0,1633.0,2001.0,2234.0,2385.0,2059.0,1403.0,18.0,3292.0,2640.0,,72.1,2607.0
62,40.9648,-4.6861,0.175945601359966,1492.0,1500.0,1481.0,1939.0,1910.0,2224.0,2417.0,2767.0,1227.0,14.0,2897.0,1929.0,,91.0,2863.0
63,40.8257,-4.6737,0.17285806313077087,1706.0,1550.0,1526.0,1926.0,2210.0,2503.0,2758.0,2731.0,1752.0,24.0,4072.0,2857.0,,69.0,2989.0
64,40.3174,-4.9862,0.15863761890150352,1428.0,1323.0,1313.0,1371.0,1696.0,1892.0,1998.0,1888.0,1530.0,90.0,3489.0,2714.0,,74.0,2293.0
65,42.5437,-4.4755,0.17134416543574593,1426.0,1411.0,1620.0,2244.0,2523.0,2891.0,3241.0,3172.0,1316.0,35.0,3894.0,2480.0,,50.4,3679.0
66,42.5336,-4.5208,0.15348837209302327,1502.0,1670.0,1954.0,2730.0,2963.0,3326.0,3662.0,3720.0,1481.0,46.0,3883.0,2319.0,,62.0,4080.0
67,42.7818,-5.2339,0.12271354999112058,3249.0,2910.0,2421.0,2470.0,2513.0,2964.0,3291.0,3161.0,1648.0,59.0,2559.0,2241.0,,72.2,3528.0
68,42.655,-4.8361,0.18207282913165265,1476.0,1254.0,1315.0,1606.0,2036.0,2385.0,2712.0,2321.0,1211.0,18.0,4187.0,3349.0,,39.4,3032.0
69,42.7363,-5.2551,0.05868184804028903,4489.0,4283.0,4055.0,4299.0,4374.0,4625.0,4826.0,4835.0,2958.0,161.0,4249.0,3561.0,,76.0,4932.0
70,42.7061,-5.2584,0.04345068189026324,5667.0,5621.0,5581.0,6032.0,6120.0,6398.0,6644.0,6580.0,3841.0,192.0,5559.0,4591.0,,79.7,6774.0
